Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Edward M. Supples	Firefighter	BUFFALO FIRE DEPARTMENT	8/23/1985	12 Top
Edward M. White	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/28/1962	12 Bottom
Edward Maney	Firefighter	NEWBURGH FIRE DEPARTMENT	11/16/1956	13 Top
Edward McGaul	Firefighter	HUNTINGTON FIRE DEPARTMENT	1/1/1937	18 Top
Edward Mulligan	Firefighter	BUFFALO FIRE DEPARTMENT	1/27/1961	12 Bottom
Edward P. Scully	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	7/24/1955	14 Top
Edward R. Broeland	Firefighter	SCHENECTADY FIRE DEPARTMENT	5/10/1939	17 Top
Edward R. Maloney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/18/1932	21 Top
Edward Stanczyk	Firefighter	NORTH PATCHOGUE FIRE DEPARTMENT	7/6/1988	11 Top
Edward Torre	Firefighter	NIAGARA FALLS FIRE DEPARTMENT	4/3/1948	15 Top
Edward Vincelette	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/14/1883	15 Bottom
Edward W. Jackson	Ex-Chief	STEWART MANOR FIRE DEPARTMENT	1/31/1955	17 Top
Edward W. Murdock	Firefighter	PORT EWEN FIRE DEPARTMENT	1/10/1991	11 Top
Edward W. Murphy	Lieutenant	ROCHESTER FIRE DEPARTMENT	1/8/1901	13 Bottom
Edward Walsh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/01/1896	14 Bottom
Edwin C. Remhild	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/11/1964	11 Bottom
Edwin H. Tobin	Captain	NEW YORK CITY FIRE DEPARTMENT	1/24/1900	13 Bottom
"Edwin J. Haungs, Sr."	Firefighter	SO. LOCKPORT FIRE DEPARTMENT	6/16/1997	10 Top
Edwin J. Hovey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/16/1946	15 Top
"Edwin M. Rogers, Jr."	Assistant Chief	SARATOGA SPRINGS FIRE DEPARTMENT	9/18/1963	12 Bottom
Edwin Quick	Firefighter	ROOSEVELT FIRE DEPARTMENT	6/19/1934	10 Bottom
Elbert Hardman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/9/1945	15 Top
Elias Ovsiovitch	Fire Police	HILLCREST FIRE COMPANY	10/17/1994	10 Top
Ellwood T. Raymond	Foreman	NORTH TONAWANDA FIRE DEPARTMENT	11/28/1930	10 Bottom
Elmer Adkins	Lieutenant	ROCHESTER FIRE DEPARTMENT	6/3/1962	12 Bottom
Elmer R. Berry	Firefighter	JAMESTOWN FIRE DEPARTMENT	1/2/1945	15 Top
Emanuel Adler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/16/1952	14 Top
"Emil J. Durand, Jr."	Ladderman	ALBANY FIRE DEPARTMENT	2/5/1948	15 Top
Emile A. Steiner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/22/1944	16 Top
Enrico F. Vendetti	Firefighter	SYRACUSE FIRE DEPARTMENT	7/12/1959	13 Top
Epitanio Gonzalez	Assistant Chief	ROMBOUT FIRE COMPANY	11/30/1984	12 Top
Eric R. Anderson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/28/1954	14 Top
Erick W. Thomas	Captain	NEW YORK CITY FIRE DEPARTMENT	4/3/1959	13 Top
Ernest F. Kannig	Chief	HUNTINGTON MANOR FIRE DEPARTMENT	11/11/1948	10 Bottom
Ernest G. Stoll	Ex-Lieutenant	SAYVILLE FIRE DEPARTMENT	2/27/1953	14 Top
Ernest J. Marquart	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/26/1964	11 Bottom
Ernest J. Welsh	Captain	YONKERS FIRE DEPARTMENT	3/20/1937	18 Top
Ernest Kane	Chief 	GLEN FIRE DEPARTMENT	1/29/1987	11 Top
Ernest Mattes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/26/1935	19 Top
Ernest Smith	Firefighter	WESTMORELAND FIRE DEPARTMENT	7/12/1989	11 Top
Estes J. Landon	Firefighter	ITHACA FIRE DEPARTMENT	12/7/1906	20 Top
Eugene F. Kelly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/22/1943	16 Top
Eugene F. Steffens	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/5/1944	16 Top
Eugene G. Dowd	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	1/27/1955	14 Top
Eugene J. Caffrey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/20/1921	16 Bottom
Eugene J. Studer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/2/1944	16 Top
Eugene K. Byrne	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/4/1963	12 Bottom
Eugene P. Lessard	Firefighter	MATTITUCK FIRE DEPARTMENT	1/1/1957	13 Top
Eugene Underhill	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/01/1834	20 Bottom
Everett D. Holdridge	Assistant Chief	ANCRAM FIRE DEPARTMENT	4/13/1963	21 Top
Everitt L. Wilcox	Firefighter	ARKPORT FIRE DEPARTMENT	7/10/1927	10 Bottom
Ezra M. Hough	Firefighter	SYRACUSE FIRE DEPARTMENT	08/20/1841	19 Bottom
F. A. Ward	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/01/1834	20 Bottom
Felix J. Jankowski	Firefighter	ELMIRA FIRE DEPARTMENT	3/12/1954	14 Top
Ferdinand Bartz	Firefighter	NORTH JAVA FIRE DEPARTMENT	1/1/1983	12 Top
Ferdinand Z. Riviello	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/20/1933	19 Top
Ferrell F. Finkle	Firefighter	KINGSTON FIRE DEPARTMENT	9/24/1937	18 Top
Floyd E. Coon	Firefighter	HORSEHEADS FIRE DEPARTMENT	7/20/1982	12 Top
Francis B. Miller	Firefighter	HASTINGS ON THE HUDSON FIRE DEPARTMENT	6/10/1962	12 Bottom
Francis Hanavan	Firefighter	BUFFALO FIRE DEPARTMENT	7/14/1984	12 Top
Francis J. Novak	Ex-Captain	BABYLON FIRE DEPARTMENT	12/14/1981	12 Top
Francis J. Quinn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/01/1887	15 Bottom
Francis J. Sammon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/18/1960	13 Top
Francis Joseph	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	03/08/1827	21 Bottom
Francis Mahedy	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	03/12/1886	15 Bottom
Francis X. Casey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/18/1956	13 Top
Francis X. Egan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/26/1962	12 Bottom
"Francisco Graca, Jr."	Firefighter	OSSINING FIRE DEPARTMENT	4/11/1949	15 Top
Frank A. Kober	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/29/1955	14 Top
"Frank A. Post, Sr."	Firefighter	HUGHSONVILLE FIRE DISTRICT	3/12/1959	17 Bottom
Frank Canga	Firefighter	WATERVLIET FIRE DEPARTMENT	7/2/1967	17 Top
Frank Cizek	Firefighter	BOHEMIA FIRE DEPARTMENT	4/20/1937	18 Top
Frank Disarlo	Firefighter	FREEPORT FIRE DEPARTMENT	1/1/1985	12 Top
Frank E. Wolf	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/16/1951	14 Top
Frank Featherson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/28/1901	13 Bottom
Frank H. Luby	Hoseman	ALBANY FIRE DEPARTMENT	09/11/1891	14 Bottom
Frank H. Yann	Firefighter	SYRACUSE FIRE DEPARTMENT	07/13/1898	13 Bottom
Frank J. Kerlin	Firefighter	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
Frank J. Molinari	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/13/1946	15 Top
Frank J. Nerney	Lieutenant	ALBANY FIRE DEPARTMENT	2/12/1984	12 Top
Frank J. Turner	Division Chief	NEW YORK CITY FIRE DEPARTMENT	6/6/1962	12 Bottom
Frank J. Winklarek	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/24/1945	15 Top
Frank J. Zatecky	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/6/1958	13 Top
Frank L. Fitzsimmons	Firefighter	TONAWANDA FIRE DEPARTMENT	6/22/1943	21 Bottom
Frank L. Jelley	Firefighter	SMITHTOWN FIRE DEPARTMENT	6/3/1985	12 Top
"Frank L. Schips, Jr."	Fire Police	PORT JERVIS FIRE DEPARTMENT	2/4/1992	11 Top
Frank M. Hausauer	1st Assistant Chief	WALES CENTER FIRE DEPARTMENT	7/1/1989	11 Top
Frank McMurray	Engineer	BUFFALO FIRE DEPARTMENT	10/07/1893	14 Bottom
"Frank Moorehead, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/12/1946	15 Top
Frank P. Miller	Captain	ALBANY FIRE DEPARTMENT	5/4/1935	19 Top
Frank Swerdzewski	Firefighter	WESTHAMPTON BEACH FIRE DEPARTMENT	7/7/1958	13 Top
Frank W. Miller	Firefighter	DUNKIRK FIRE DEPARTMENT	11/26/1904	10 Bottom
Frank W. Peckering	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/3/1963	11 Bottom
Fred Amthor	Hoseman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
"Fred C. Scheffold, Jr."	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Fred G. Meyers	Chief	CORNING FIRE DEPARTMENT	2/14/1944	16 Top
Fred Gerner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/5/1937	18 Top
Fred J. Hellauer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
Fred J. Wallen	Foreman	ALBANY FIRE DEPARTMENT	07/12/1885	15 Bottom
Fred L. Cumming	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/5/1955	14 Top
Fred McCellan	Firefighter	BUFFALO FIRE DEPARTMENT	1/11/1952	14 Top
Fred Schreiber	Firefighter	MALVERNE FIRE DEPARTMENT	4/18/1937	10 Bottom
Frederic P. Smith    	Chief    	HARRISVILLE VOLUNTEER FIRE DEPARTMENT                	5/9/1972	10 Bottom
Frederick F. Kopple	Firefighter	ONEIDA FIRE DEPARTMENT	7/7/1942	16 Top
Frederick Glasser	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/14/1959	13 Top
Frederick Hochhauser	Firefighter	BUFFALO FIRE DEPARTMENT	5/6/1963	12 Bottom
"Frederick J. Ill, Jr."	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
James Diamond	Firefighter	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
Frederick J. Wenzell	Firefighter	SYRACUSE FIRE DEPARTMENT	4/12/1947	15 Top
Frederick Schmitt	Hoseman	ALBANY FIRE DEPARTMENT	4/25/1938	18 Top
Frederick Schultz	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/3/1910	15 Bottom
Frederick T. Fairweather	Firefighter	BULLVILLE FIRE DEPARTMENT	9/23/1995	10 Top
Frederick V. Erb	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/23/1934	19 Top
Fredrick J. Trefcer	Captain	NEW YORK CITY FIRE DEPARTMENT	5/17/1932	20 Top
Fredrick M. Kubera	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/23/1965	11 Bottom
Fredrick Ziegler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/17/1947	15 Top
Garrett W. Langdon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/6/1953	14 Top
Garry S. Kuehner	Lieutenant	YONKERS FIRE DEPARTMENT	4/10/1983	12 Top
Gary G. Partridge	Firefighter	ASHLAND FIRE DEPARTMENT	9/28/1982	12 Top
Gary Kennicutt	Fire Police	GREENE FIRE DEPARTMENT	4/10/1993	10 Top
Gary P. Geidel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Gary R. Box	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Geoffrey E. Guja	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
George A. Alexander	Captain	YONKERS FIRE DEPARTMENT	11/28/1966	11 Bottom
George A. Erlacher	Assistant Engineer	NEW YORK CITY FIRE DEPARTMENT	02/09/1873	16 Bottom
George Amos	Captain	BUFFALO FIRE DEPARTMENT	1/24/1934	19 Top
George B. Benjamin	Firefighter	ROCHESTER FIRE DEPARTMENT	08/26/1840	19 Bottom
George B. Christman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/26/1906	16 Bottom
George B. Nickerson	Firefighter	PAWLING FIRE DEPARTMENT	3/10/1932	10 Bottom
George B. Weill	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/22/1945	15 Top
George Badger	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/03/1863	17 Bottom
George Bell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/08/1865	17 Bottom
"George Bercier, Sr."	Firefighter	ROSLYN FIRE DEPARTMENT	10/9/1956	16 Top
George Brewer	Firefighter	FULTON FIRE DEPARTMENT	2/16/1961	21 Bottom
George Brown	Firefighter	ALBANY FIRE DEPARTMENT	2/16/1922	10 Bottom
George C. Cain	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
George C. Zapf	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/5/1955	14 Top
George D. Leggio	Firefighter	EAST MEADOW FIRE DEPARTMENT	5/21/1952	14 Top
George D. Morton	Firefighter	JAMESTOWN FIRE DEPARTMENT	2/7/1927	10 Bottom
George D. Neat	Firefighter	SYRACUSE FIRE DEPARTMENT	1/16/1942	16 Top
George DiPasquale	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
George F. Long	Hoseman	ROCHESTER FIRE DEPARTMENT	1/8/1901	13 Bottom
George F. Mand	Deputy Commissioner	NEW YORK CITY FIRE DEPARTMENT	5/3/1965	11 Bottom
"George H. Cridland, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/9/1944	16 Top
George Henderson	Firefighter	BLUE POINT FIRE DEPARTMENT	1/1/1959	13 Top
George J. Karl	Past Chief	MAIN TRANSIT FIRE DEPARTMENT	8/1/1990	11 Top
George J. Murphy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/21/1956	13 Top
George J. Zahn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/26/1962	12 Bottom
George Kerr	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/02/1848	19 Bottom
George L. Byrne	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/6/1931	21 Top
George Lyons	Firefighter	BUFFALO FIRE DEPARTMENT	2/17/1943	16 Top
George M. Williams	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/11/1946	15 Top
George Malarky	Firefighter	BUFFALO FIRE DEPARTMENT	8/2/1939	18 Top
George Moriarity	Firefighter	BUFFALO FIRE DEPARTMENT	10/18/1952	14 Top
George Nigro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/13/1945	15 Top
George P. Oats	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/3/1949	15 Top
George R. Goger	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/2/1963	12 Bottom
George Roth	Firefighter	BUFFALO FIRE DEPARTMENT	03/25/1885	15 Bottom
George Sandfield	Ex-Chief 	CONGERS FIRE DEPARTMENT	11/2/1987	11 Top
George Schmitt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/24/1943	16 Top
George T. Hamilton    	Firefighter    	COHOES FIRE DEPARTMENT           	4/23/1922	11 Top
George W. Buridge	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/16/1864	17 Bottom
George W. Dove	Firefighter	SKANEATELES FIRE DEPARTMENT	7/12/1965	11 Top
George W. Haight	Firefighter	NEW YORK CITY FIRE DEPARTMENT	06/22/1884	15 Bottom
George W. Lener	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	7/20/1994	10 Top
George W. Sampson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/18/1935	19 Top
George W. Trenchard	Captain	NEW YORK CITY FIRE DEPARTMENT	05/31/1853	18 Bottom
George Weitz	Captain	BUFFALO FIRE DEPARTMENT	12/11/1932	21 Top
George Weston	Firefighter	NORTH BABYLON FIRE DEPARTMENT	1/1/1954	14 Top
Gerald A. Machajewski	Firefighter	CAMBRIA VOLUNTEER FIRE COMPANY	5/21/2006	21 Top
Gerald E. Murray	1st Assistant Chief	WINDHAM HOSE COMPANY #1	8/27/1994	10 Top
Gerald F. Mullins	Firefighter	BINGHAMTON FIRE DEPARTMENT	1/8/1994	10 Top
Gerald T. Atwood	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Gerald T. Hanley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/13/1939	17 Top
Gerard A. Barbara	Assistant Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Gerard Marcheterre	Firefighter	BORODINO FIRE DEPARTMENT	3/6/2010	10 Bottom
Gerard T. Baptiste	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Gordon O. Schmidt	Captain	SAINT PAUL BOULEVARD FIRE DEPARTMENT	11/11/1991	11 Top
Gregory E. Williams	Firefighter	HOLLAND FIRE COMPANY	11/4/1991	11 Top
Gregory M. Dixon	Firefighter	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
Gunther E. Beake	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/23/1949	15 Top
Gustav F. Deutschmann	Past Foreman	NORTH TONAWANDA FIRE DEPARTMENT	4/1/1929	10 Bottom
Guy R. Pollard	Firefighter	NEWARK VALLEY FIRE DEPARTMENT	1/6/1996	10 Top
H. Clair Brainard	Firefighter	BINGHAMTON FIRE DEPARTMENT	3/25/1925	10 Bottom
Hamilton S. White	Honorary Assistant Chief	SYRACUSE FIRE DEPARTMENT	03/13/1899	13 Bottom
Harold A. Barker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/5/1941	17 Top
Harold Anderson	Firefighter	JAMESTOWN FIRE DEPARTMENT	6/14/1934	10 Bottom
"Harold E. Roemer, Jr."	Firefighter	GREENLAWN FIRE DEPARTMENT	1/5/1998	10 Top
Harold F. Clandening	Lineman	NEW YORK CITY FIRE DEPARTMENT	6/25/1946	15 Top
Harold F. Johns	Master Mechanic	GLENS FALLS CITY FIRE DEPARTMENT	2/25/1961	14 Bottom
Harold F. Perkins	1st Assistant Chief	PITTSFORD FIRE DEPARTMENT	12/27/1955	17 Top
Harold Holsten	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/12/1945	16 Top
Harold J. Brazell	Firefighter	SCHENECTADY FIRE DEPARTMENT	2/1/1948	15 Top
Harold J. Curran	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/30/1944	16 Top
"Harold J. Lyons, Sr."	Deputy Coordinator 	BROOKHAVEN FIRE DEPARTMENT	10/30/1992	10 Top
Harry B. Austin	Protective	ROCHESTER FIRE DEPARTMENT	10/02/1896	10 Bottom
Harry E. Jenkins	Firefighter	SARATOGA SPRINGS FIRE DEPARTMENT	11/30/1954	14 Top
"Harry E. Johnston, Jr."	Firefighter	BRIGHTON FIRE DEPARTMENT	7/22/1940	17 Top
Harry G. Boyle	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/8/1948	15 Top
Harry J. Kett	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/10/1938	18 Top
"Harry J. Smith, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/16/1953	14 Top
Harry M. Korwatch	Lieutenant	YONKERS FIRE DEPARTMENT	3/14/1984	12 Top
Harry M. Maloney	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/9/1948	15 Top
Harry Payne	Driver	TANNERSVILLE FIRE DEPARTMENT	7/11/1925	10 Bottom
Harry R. Halsey	Firefighter	SARATOGA SPRINGS FIRE DEPARTMENT	12/13/1940	17 Top
Harry S. Ford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/17/2001	10 Bottom
"Harry Sauer, Sr."	Firefighter	SALISBURY MILLS FIRE DEPARTMENT	3/20/1985	12 Top
Harry Smith	Firefighter	BUFFALO FIRE DEPARTMENT	11/5/1960	13 Top
Harry T. McCarthy	Captain	ALBANY FIRE DEPARTMENT	3/21/1944	16 Top
Harry W. Barker	Firefighter	JAMESTOWN FIRE DEPARTMENT	10/21/1930	10 Bottom
Harvey L. Harrell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	12 Bottom
"Hector L. Tirado, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Hector McClune	Firefighter	MILLERTON FIRE DEPARTMENT	11/26/2006	21 Bottom
Henry A. Hoderlein	Firefighter	ROCHESTER FIRE DEPARTMENT	2/24/1943	16 Top
"Henry A. Miller, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Henry B. Innes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/18/1945	16 Top
Henry C. Foster	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/23/1939	18 Top
Henry C. Mount	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/09/1879	16 Bottom
Henry C. Northrip	Firefighter	COLDENHAM FIRE DEPARTMENT	8/21/1982	10 Bottom
Henry Devitt	Lieutenant	BUFFALO FIRE DEPARTMENT	11/1/1901	13 Bottom
Henry F. Fargis	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/02/1848	19 Bottom
Henry Forscheler	Firefighter	ROCHESTER FIRE DEPARTMENT	05/05/1867	17 Bottom
Henry Goodbrodt	Firefighter	NIAGARA FALLS FIRE DEPARTMENT	8/6/1948	15 Top
Henry J. Holborn	Firefighter	ROCHESTER FIRE DEPARTMENT	1/15/1940	17 Top
Henry M. Jackson	Firefighter	BUFFALO FIRE DEPARTMENT	01/28/1854	17 Top
Henry Tomasewski	Firefighter	WESTHAMPTON BEACH FIRE DEPARTMENT	7/11/1952	14 Top
Henry W. Dodge	Firefighter	HUTCHINSON HOSE COMPANY	01/15/1894	20 Bottom
Herman Stanton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/6/1945	15 Top
"Hiram T. Manning, II"	Firefighter	UNIONVILLE FIRE DEPARTMENT	8/8/1952	21 Top
Howard E. Scroger	Fire Police	ALABAMA FIRE DEPARTMENT	11/18/1987	11 Top
Howard E. Wynn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/29/1947	15 Top
Howard Garrison	Firefighter	CENTERVILLE FIRE COMPANY	4/19/1988	11 Top
Howard R. Schmitt	Battalion Chief	ALBANY FIRE DEPARTMENT	8/15/1993	10 Top
Howard V. Colbert	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/9/1944	16 Top
Hubert J. Ingersoll	Firefighter	PULASKI FIRE DEPARTMENT	7/30/1947	15 Top
Hugh Fox	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/23/1896	14 Bottom
Hugh Gallagher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
Hugh McGowen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/04/1891	14 Bottom
Hugh T. Gibson	Foreman	SYRACUSE FIRE DEPARTMENT	08/28/1841	20 Bottom
Ignatius V. Bell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/8/1960	12 Bottom
Ingrid Sowle	Firefighter	PORT WASHINGTON FIRE DEPARTMENT	2/19/1990	11 Top
Ira L. Foote	Firefighter	ROCHESTER FIRE DEPARTMENT	6/29/1944	16 Top
Irving W. Dwyer	Lieutenant	AUBURN CITY FIRE DEPARTMENT	12/21/1931	10 Bottom
Isaac L. Ransom	Lieutenant	EAST CLINTON FIRE DEPARTMENT	2/13/1946	13 Bottom
Issac Monroe	Firefighter	UTICA FIRE DEPARTMENT	09/28/1897	14 Bottom
Ivan R. Delameter	Firefighter	MARGARETVILLE FIRE DEPARTMENT	9/2/1961	12 Bottom
J. M. Forrester	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/01/1849	19 Bottom
J. Robert Hickey	Fire Police	EAST GREENBUSH FIRE DEPARTMENT	3/22/1987	11 Top
Jack Fink	Firefighter	BELLEROSE TERRACE FIRE DEPARTMENT	4/8/1963	10 Top
Jack Miller	Firefighter	DUNDEE FIRE DEPARTMENT	1/1/1986	12 Top
Jacob Bassman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/29/1947	15 Top
Jacob Edler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/18/1871	16 Bottom
Jacob Steiger	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/06/1897	14 Bottom
Jacob Steigler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/08/1872	18 Bottom
Jake M. Hoeffner	Captain/Juniors	YAPHANK FIRE DEPARTMENT	5/31/1998	10 Top
Jamel M. Sears	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/11/2008	11 Top
James A. Dingee	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/23/1943	16 Top
James A. Giberson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
James A. Kane	Firefighter	YONKERS FIRE DEPARTMENT	1/31/1943	16 Top
James A. Pinto	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/20/1961	12 Bottom
James A. Rogers	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/2/1963	11 Bottom
James B. Williams	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/5/1996	10 Top
James Byrne	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	11/23/1954	14 Top
James C. Farley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/16/1947	15 Top
James C. Lickfield	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
James C. Riches	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
James Costello	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/13/1945	16 Top
James Curtin	Battalion Chief	BUFFALO FIRE DEPARTMENT	4/5/1956	13 Top
James Davis	Firefighter	PORT WASHINGTON FIRE DEPARTMENT	08/19/1892	17 Bottom
James Dawe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/29/1902	13 Bottom
James Devlin	Firefighter	ELMONT FIRE DEPARTMENT	7/24/1981	12 Top
James Dworetsky	Chief	YOUNGSVILLE FIRE DEPARTMENT	11/25/1995	10 Top
James E. Bohan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/18/1998	10 Top
James E. Deegan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
James E. Linekin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/27/1966	11 Bottom
James E. McArdle	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/14/1957	13 Top
James E. Nugent	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/14/1901	13 Bottom
James E. Winne	Ladderman	ALBANY FIRE DEPARTMENT	01/16/1875	16 Bottom
James F. Calnan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/29/1897	13 Bottom
James F. Coyle	Lieutenant	ALBANY FIRE DEPARTMENT	4/20/1943	16 Top
James F. Devine	"Patrolman, Fire Patrol"	NYBFU/STATIONED WITH FDNY	2/14/1958	17 Top
James F. Greene	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/1/1932	20 Top
