Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
William J. Ford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/21/1983	12 Top
William J. Hanlon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/30/1963	12 Bottom
William J. Head	Captain	NEW YORK CITY FIRE DEPARTMENT	3/1/1935	19 Top
William J. Robertson	Battalion Chief	GREECE-RIDGE FIRE DEPARTMENT	4/25/1998	10 Top
William J. Smith	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/24/1900	13 Bottom
"William J. Tripp, Jr."	Firefighter	RICHFORD FIRE DEPARTMENT	4/13/2002	6 Top
William J. Walsh	Firefighter	TROY FIRE DEPARTMENT	5/3/1944	16 Top
William J. Wandling	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/16/1946	15 Top
William Koch	Firefighter	LYNBROOK FIRE DEPARTMENT	4/30/1963	11 Bottom
William Korte	Firefighter	SOUTHHAMPTON FIRE DEPARTMENT	11/4/1999	20 Top
"William Kostinec, Jr."	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/22/1932	20 Top
William Kot	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/5/1954	14 Top
William Krattinger	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/16/1882	16 Bottom
William L. Casey	Captain	NEW YORK CITY FIRE DEPARTMENT	2/1/1955	14 Top
William L. Pratt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/1/1932	21 Top
William McEvoy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/30/1956	13 Top
William McNally	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/5/1903	13 Bottom
William Mellon	Firefighter	BAY RIDGE FIRE COMPANY	6/19/1997	10 Top
William Michaelsen	Chief	EAST NORWICH FIRE DEPARTMENT	9/4/1961	13 Top
William Mohan	Firefighter	SOMERS FIRE DEPARTMENT	1/1/1983	18 Bottom
William Munda	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/22/1952	14 Top
William N. Hammond	Firefighter	GENERAL ELECTRIC FIRE DEPARTMENT	1/1/1983	12 Top
William Ormsby	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/7/1931	11 Bottom
William P. Hogan	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	1/9/1947	15 Top
William P. Hoolan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
William P. Long	Tillerman	ROCHESTER FIRE DEPARTMENT	3/15/1944	16 Top
William Peterson	Captain	NEW YORK CITY FIRE DEPARTMENT	05/19/1811	21 Bottom
William Prechtel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/9/1956	13 Top
William Quinn	Captain	BUFFALO FIRE DEPARTMENT	12/23/1952	14 Top
William Rutter	Firefighter	ELMIRA FIRE DEPARTMENT	01/01/1854	18 Bottom
